Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
OPCT3,"2,76",ON NM,30/11/2021,OCEANPACT ON NM,"2,76","Petróleo, Gás e Biocombustíveis","11,15",Equipamentos e Serviços,3.649.090
ONCO3,"7,76",ON NM,30/11/2021,ONCOCLINICAS ON NM,"7,76",Serv.Méd.Hospit. Análises e Diagnósticos,"19,24",Serv.Méd.Hospit. Análises e Diagnósticos,19.119.800
OMGE3,"27,14",ON NM,30/11/2021,OMEGA GER ON NM,"27,14",Energia Elétrica,"43,36",Energia Elétrica,46.569.600
OSAO4,"8,98",PN,02/02/2006,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A PN,"0,00",Automóveis e Motocicletas,"0,00",Automóveis e Motocicletas,0
MWET4,"14,02",PN,30/11/2021,WETZEL S.A. PN,"5,67",Material de Transporte,"40,39",Material Rodoviário,57.909
MULT3,"19,60",ON N2,30/11/2021,Multiplan ON N2,"17,30",Exploração de Imóveis,"27,74",Exploração de Imóveis,168.682.000
MTRE3,"6,92",ON NM,30/11/2021,MITRE REALTY ON NM,"5,71",Construção Civil,"16,06",Incorporações,5.569.220
MTBR4,"1,05",PN,09/06/2006,WHIRLPOOL S.A. PN,"0,00",Utilidades Domésticas,"0,00",Eletrodomésticos,0
NUTR3,"253,00",ON,03/09/2021,NUTRIPLANT ON,"216,00",Químicos,"395,00",Fertilizantes e Defensivos,0
ODER3,"0,00",ON,-,CONSERVAS ODERICH SA ON,"0,00",Alimentos Processados,"0,00",Alimentos Diversos,0
NORD3,"13,96",ON,29/11/2021,NORDON INDS METALURGICAS SA ON,"6,20",Máquinas e Equipamentos,"31,59",Máq. e Equip. Industriais,10.011
NTCO3,"26,69",ON NM,30/11/2021,GRUPO NATURA ON NM,"26,69",Produtos de Uso Pessoal e de Limpeza,"61,05",Produtos de Uso Pessoal,402.775.000
MYPK4,"31,79",PN,25/02/2008,IOCHPE-MAXION PN,"0,00",Automóveis e Motocicletas,"0,00",Automóveis e Motocicletas,0
MYPK3,"14,44",ON,30/11/2021,IOCHPE-MAXION ON,"11,70",Automóveis e Motocicletas,"19,51",Automóveis e Motocicletas,31.988.500
NGRD3,"2,82",ON NM,30/11/2021,NEOGRID ON NM,"2,82",Programas e Serviços,"11,71",Programas e Serviços,8.702.110
MRSA5B,"40,29",PNA MB,21/10/2021,MRS LOGÍSTICA S/A PNA MB,"32,68",Transporte,"45,43",Transporte Ferroviário,101
MRSA3B,"35,70",ON MB,22/11/2021,MRS LOGÍSTICA S/A ON MB,"35,70",Transporte,"52,73",Transporte Ferroviário,179
MRFG3,"23,57",ON NM,30/11/2021,Marfrig ON NM,"11,89",Alimentos Processados,"27,70",Carnes e Derivados,184.570.000
MOSI3,"8,75",ON NM,30/11/2021,MOSAICO SA ON NM,"8,45",Programas e Serviços,"41,03",Programas e Serviços,18.726.900
MWET3,"26,05",ON,08/11/2021,WETZEL S.A. ON,"26,05",Material de Transporte,"69,78",Material Rodoviário,850
MODL11,"10,65",UNT N2,30/11/2021,MODALMAIS UNT N2,"10,65",Intermediários Financeiros,"18,83",Bancos,6.674.880
MSPA4,"46,00",PN,19/10/2021,MELHORAMENTOS PN,"45,00",Madeira e Papel,"46,00",Papel e Celulose,115
MTIG3,"5,21",ON,01/04/2016,IGUAÇU ON,"0,00",Embalagens,"0,00",Embalagens,0
MTSA4,"42,88",PN,30/11/2021,METISA PN,"27,07",Máquinas e Equipamentos,"54,36",Máq. e Equip. Construção e Agrícolas,147.119
MTIG4,"47,42",PN,30/11/2021,IGUAÇU PN,"32,00",Embalagens,"89,80",Embalagens,27.456
MSPA3,"48,50",ON,19/10/2021,MELHORAMENTOS ON,"48,00",Madeira e Papel,"48,50",Papel e Celulose,121
MTBR3,"0,99",ON,28/03/2006,WHIRLPOOL S.A. ON,"0,00",Utilidades Domésticas,"0,00",Eletrodomésticos,0
MRVE3,"11,09",ON NM,30/11/2021,MRV ON NM,"10,15",Construção Civil,"20,17",Incorporações,66.738.000
MNPR3,"7,40",ON,30/11/2021,MINUPAR ON,"6,17",Alimentos Processados,"25,00",Carnes e Derivados,125.445
MMXM3,"14,00",ON NM,19/05/2021,MMX MINER ON NM,"14,00",Mineração,"37,20",Minerais Metálicos,0
MMAQ3,"0,00",ON,30/12/1899,MINASMÁQUINAS S/A ON,"0,00",Comércio,"0,00",Material de Transporte,0
MLPA4,"45,00",PN,11/04/2008,MELHORAMENTOS PAPEIS PN,"0,00",Madeira e Papel,"0,00",Papel e Celulose,0
MRSL4,"3,05",PN,02/07/2012,MARISOL PN,"0,00","Tecidos, Vestuário e Calçados","0,00",Vestuário,0
MRSL3,"3,30",ON,07/12/2011,MARISOL ON,"0,00","Tecidos, Vestuário e Calçados","0,00",Vestuário,0
MLAS3,"6,66",ON NM,30/11/2021,MULTILASER ON NM,"6,36",Computadores e Equipamentos,"12,98",Computadores e Equipamentos,20.703.400
MRSA6B,"35,00",PNB MB,03/08/2021,MRS LOGÍSTICA S/A PNB MB,"35,00",Transporte,"35,00",Transporte Ferroviário,0
MODL3,"4,17",ON N2,30/11/2021,MODALMAIS ON N2,"4,17",Intermediários Financeiros,"12,45",Bancos,75.712
MOVI3 ,"16,78",ON NM,30/11/2021,MOVIDA ON NM,"14,85",Diversos,"22,77",Aluguel de carros,41.076.200
MOAR3,"419,00",ON,30/11/2021,MONTEIRO ARANHA ON,"188,41",Holdings Diversificadas,"419,00",Holdings Diversificadas,1.320.400
MODL4,"3,25",PN N2,30/11/2021,MODALMAIS PN N2,"3,25",Intermediários Financeiros,"6,51",Bancos,139.406
MGEL4,"14,00",PN N1,30/11/2021,MANGELS PN N1,"5,31",Siderurgia e Metalurgia,"26,21",Artefatos de Ferro e Aço,50.566
MNPR4,"4,63",PN,11/12/2007,MINUPAR PN,"0,00",Alimentos Processados,"0,00",Carnes e Derivados,0
MNDL4,"0,38",PN,01/03/2012,MUNDIAL S/A PN,"0,00","Tecidos, Vestuário e Calçados","0,00",Acessórios,0
MNDL3,"44,80",ON,30/11/2021,MUNDIAL S/A ON,"20,53","Tecidos, Vestuário e Calçados","68,96",Acessórios,105.360
MMAQ4,"200,06",PN,10/12/2003,MINASMÁQUINAS S/A PN,"0,00",Comércio,"0,00",Material de Transporte,0
MLPA3,"0,00",ON,30/12/1899,MELHORAMENTOS PAPEIS ON,"0,00",Madeira e Papel,"0,00",Papel e Celulose,0
MLFT4,"22,39",PN,31/01/2018,IGUATEMI S.A PN,"22,39",Exploração de Imóveis,"22,85",Exploração de Imóveis,0
MILS3,"5,49",ON NM,30/11/2021,MILLS ON NM,"4,82",Construção e Engenharia,"8,97",Serviços Diversos,8.597.850
MAPT4,"37,95",PN,24/09/2021,CIA MARCOPOLO PN,"36,80",Outros,"53,99",Outros,0
MGLU3,"7,80",ON NM,30/11/2021,MAGAZ LUIZA ON NM,"7,80",Comércio,"26,22",Eletrodomésticos,685.981.000
MGEL3,"25,00",ON,11/03/2011,MANGELS ON,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
LUXM3,"10,00",ON,25/05/2015,TREVISA INVESTIMENTOS SA ON,"0,00",Transporte,"0,00",Transporte Hidroviário,0
LUPA3,"5,18",ON NM,30/11/2021,LUPATECH ON NM,"2,01","Petróleo, Gás e Biocombustíveis","11,30",Equipamentos e Serviços,22.644.200
LREN4,"105,00",PN,28/06/2005,RENNER PN,"0,00",Comércio,"0,00","Tecidos, Vestuário e Calçados",0
MERC4,"10,01",PN,29/11/2021,MERCANTIL BRASIL PN,"10,01",Intermediários Financeiros,"13,64",Soc. Crédito e Financiamento,647
MERC3,"25,00",ON,11/11/2021,MERCANTIL BRASIL ON,"21,40",Intermediários Financeiros,"44,94",Soc. Crédito e Financiamento,63
MELK3,"3,97",ON NM,30/11/2021,MELNICK ON NM,"3,34",Construção Civil,"7,76",Incorporações,6.894.960
MEAL3,"2,68",ON NM,30/11/2021,IMC S/A ON NM,"2,68",Hoteis e Restaurantes,"4,93",Restaurante e Similares,9.279.180
MEDI3,"11,55",ON NM,10/06/2010,MEDIAL SAUDE ON NM,"0,00",Serv.Méd.Hospit. Análises e Diagnósticos,"0,00",Serv.Méd.Hospit. Análises e Diagnósticos,0
LLIS3,"1,27",ON,30/11/2021,LE LIS BLANC DEUX ON,"1,27",Comércio,"5,05","Tecidos, Vestuário e Calçados",1.440.580
MDNE3,"4,69",ON NM,30/11/2021,MOURA DUBEUX ON NM,"4,69",Construção Civil,"11,77",Incorporações,2.126.650
MDIA3,"27,78",ON NM,30/11/2021,M.DIASBRANCO ON NM,"25,68",Alimentos Processados,"34,57",Alimentos Diversos,41.486.600
LINX3,"37,40",ON NM,25/06/2021,LINX ON NM,"35,53",Programas e Serviços,"38,39",Programas e Serviços,0
LIGH3,"16,66",ON,21/02/2006,LIGHT ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
MBLY3,"4,80",ON NM,30/11/2021,MOBLY ON NM,"4,80",Programas e Serviços,"26,40",Programas e Serviços,5.935.170
MATD3,"14,44",ON NM,30/11/2021,MATER DEI ON NM,"14,44",Serv.Méd.Hospit. Análises e Diagnósticos,"21,55",Serv.Méd.Hospit. Análises e Diagnósticos,9.879.210
MAPT3,"37,00",ON,22/04/2021,CIA MARCOPOLO ON,"37,00",Outros,"50,01",Outros,0
MARI3,"2,93",ON NM,30/12/1899,Marisa ON NM,"0,00",Comércio,"0,00","Tecidos, Vestuário e Calçados",0
LVTC3,"15,75",ON NM,30/11/2021,WDC NETWORKS ON NM,"15,75",Programas e Serviços,"26,73",Programas e Serviços,5.280.080
LWSA3,"13,19",ON NM,30/11/2021,LOCAWEB ON NM,"13,19",Programas e Serviços,"34,99",Programas e Serviços,161.094.000
LPSB3,"2,32",ON NM,30/11/2021,LOPES BRASIL ON NM,"2,29",Exploração de Imóveis,"5,29",Intermediação Imobiliária,3.492.710
LOGN3,"20,65",ON NM,30/11/2021,Log-In ON NM,"13,82",Transporte,"22,70",Transporte Hidroviário,17.600.400
LREN3,"28,45",ON,30/11/2021,RENNER ON,"28,45",Comércio,"44,14","Tecidos, Vestuário e Calçados",374.417.000
LUXM4,"81,05",PN,30/11/2021,TREVISA INVESTIMENTOS SA PN,"58,38",Transporte,"81,05",Transporte Hidroviário,24.554
LOGG3,"22,01",ON NM,30/11/2021,LOG COM PROP ON NM,"22,01",Exploração de Imóveis,"34,43",Exploração de Imóveis,14.290.300
LJQQ3,"10,13",ON NM,30/11/2021,QUERO-QUERO ON NM,"10,13",Comércio,"24,87",Produtos Diversos,34.402.100
LIPR3,"55,00",ON,30/11/2021,LIGHTPAR ON,"55,00",Energia Elétrica,"74,69",Energia Elétrica,6.866
LEVE4,"44,49",PN,07/01/2011,MAHLE METAL LEVE PN,"0,00",Automóveis e Motocicletas,"0,00",Automóveis e Motocicletas,0
LIGT3,"12,04",ON,30/11/2021,LIGHT SA ON,"9,68",Energia Elétrica,"23,90",Energia Elétrica,34.955.000
LEVE3,"29,29",ON,30/11/2021,MAHLE METAL LEVE ON,"16,84",Automóveis e Motocicletas,"43,26",Automóveis e Motocicletas,23.918.500
KROT11,"40,00",UNT N2,04/12/2012,COGNA UNT N2,"0,00",Diversos,"0,00",Serviços Educacionais,0
KLBN4,"4,44",PN N2,30/11/2021,KLABIN PN N2,"4,13",Madeira e Papel,"6,05",Papel e Celulose,3.100.500
KLBN3,"5,97",ON N2,30/11/2021,KLABIN ON N2,"4,76",Madeira e Papel,"6,56",Papel e Celulose,778.937
LCAM3,"23,17",ON NM,30/11/2021,LOCAMERICA ON NM,"19,73",Diversos,"30,35",Aluguel de carros,64.503.100
LETO5,"2,06",PNA,26/06/2008,MITTO PNA,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
LETO3,"0,80",ON,19/07/2006,MITTO ON,"0,00",Siderurgia e Metalurgia,"0,00",Artefatos de Ferro e Aço,0
JOPA4,"37,00",PN,06/10/2021,JOSAPAR S/A PN,"31,65",Alimentos Processados,"73,93",Alimentos Diversos,93
JHSF3,"4,70",ON NM,30/11/2021,JHSF Part ON NM,"4,70",Construção Civil,"7,87",Incorporações,25.230.700
LAND3,"0,00",ON NM,-,TERRASANTAPA ON NM,"0,00",Agropecuária,"0,00",Agricultura,0
LATM11,"28,65",DR3 ED,30/08/2013,LATAM AIRLN DR3 ED,"0,00",Transporte,"0,00",Transporte Aéreo,0
LAVV3,"4,63",ON NM,30/11/2021,LAVVI ON NM,"4,63",Construção Civil,"8,67",Incorporações,10.064.400
JBSS3,"35,65",ON NM,30/11/2021,JBS ON NM,"20,39",Alimentos Processados,"38,02",Carnes e Derivados,440.501.000
JBDU3,"0,00",ON,-,B TECH EQI ON,"0,00",Outros,"0,00",Outros,0
LAME4,"5,47",PN,30/11/2021,LOJAS AMERICANAS S.A. PN,"4,64",Comércio,"11,99",Produtos Diversos,187.033.000
