Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
CLSC3,"62,00",ON N2,29/11/2021,CELESC ON N2,"52,44",Energia Elétrica,"94,76",Energia Elétrica,10.326
CIEL3,"2,07",ON NM,30/11/2021,CIELO ON NM,"2,07",Serviços Financeiros Diversos,"4,31",Serviços Financeiros Diversos,90.561.600
CGRA4,"43,49",PN,30/11/2021,GRAZZIOTIN PN,"26,48",Comércio,"49,90","Tecidos, Vestuário e Calçados",773.734
CGRA3,"44,99",ON,30/11/2021,GRAZZIOTIN ON,"29,15",Comércio,"50,85","Tecidos, Vestuário e Calçados",87.280
CGOS3,"26,20",ON,08/10/2007,CELG ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
CGAS5,"149,99",PNAS,30/11/2021,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS PNAS,"136,00",Gás,"182,28",Gás,254.077
CGAS3,"149,99",ON,18/11/2021,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS ON,"140,00",Gás,"186,39",Gás,3.654
CEDO3,"7,00",ON,30/11/2021,CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA ON,"6,50","Tecidos, Vestuário e Calçados","17,20",Fios e Tecidos,8.178
CEBR6,"16,70",PNB,30/11/2021,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNB,"14,96",Energia Elétrica,"27,17",Energia Elétrica,376.652
CEBR5,"16,45",PNA,30/11/2021,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA,"15,36",Energia Elétrica,"29,84",Energia Elétrica,60.614
CESP5,"33,50",PNA,25/11/2021,CESP CIA ENERGETICA SAO PAULO PNA,"29,01",Energia Elétrica,"47,23",Energia Elétrica,246
CEAB3,"6,46",ON NM,30/11/2021,CEA MODAS ON NM,"6,06",Comércio,"15,31","Tecidos, Vestuário e Calçados",23.353.300
CCXC3,"1,16",ON NM,17/01/2020,CCX CARVAO ON NM,"1,14",Mineração,"2,34",Minerais Metálicos,0
CESP6,"23,77",PNB,30/11/2021,CESP CIA ENERGETICA SAO PAULO PNB,"22,59",Energia Elétrica,"28,79",Energia Elétrica,66.930.600
CEPE5,"26,32",PNA,23/11/2021,CELPE PNA,"22,04",Energia Elétrica,"31,00",Energia Elétrica,2.854
CEPE6,"27,81",PNB,30/11/2021,CELPE PNB,"26,15",Energia Elétrica,"42,72",Energia Elétrica,6.010
CEPE3,"128,00",ON,30/12/2020,CELPE ON,"27,63",Energia Elétrica,"128,00",Energia Elétrica,0
CCHI4,"0,02",PN,23/11/2015,CHIARELLI PN,"0,00",Construção e Engenharia,"0,00",Produtos para Construção,0
CBEE3,"23,00",ON,30/11/2021,AMPLA ENERG ON,"14,96",Energia Elétrica,"30,27",Energia Elétrica,2.302
CEGR3,"60,00",ON,26/10/2021,CEG ON,"57,99",Gás,"113,74",Gás,450
CEED3,"40,00",ON N1,23/11/2021,CEEE-D ON N1,"40,00",Energia Elétrica,"76,81",Energia Elétrica,528
CEED4,"55,80",PN N1,13/08/2021,CEEE-D PN N1,"53,00",Energia Elétrica,"72,00",Energia Elétrica,0
CEEB5,"39,00",PNA,17/09/2021,COELBA PNA,"35,72",Energia Elétrica,"54,53",Energia Elétrica,0
CEDO4,"5,81",PN,30/11/2021,CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN,"5,04","Tecidos, Vestuário e Calçados","8,34",Fios e Tecidos,17.687
CEEB3,"34,50",ON,30/11/2021,COELBA ON,"33,70",Energia Elétrica,"56,53",Energia Elétrica,39.378
CALI4,"50,00",PN,22/12/2020,CAL S/A PN,"48,00",Construção Civil,"50,00",Incorporações,0
CEBR3,"16,60",ON,30/11/2021,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA ON,"14,44",Energia Elétrica,"27,86",Energia Elétrica,90.465
CCRO3,"12,31",ON NM,30/11/2021,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,"10,80",Transporte,"14,12",Exploração de Rodovias,187.998.000
CCIM3,"5,52",ON NM,18/10/2012,CC DES IMOB ON NM,"0,00",Construção Civil,"0,00",Incorporações,0
CCHI3,"0,02",ON,23/11/2015,CHIARELLI ON,"0,00",Construção e Engenharia,"0,00",Produtos para Construção,0
CBAV3,"11,97",ON NM,30/11/2021,CBA ON NM,"10,27",Mineração,"16,30",Minerais Metálicos,38.644.300
CASN3,"15,01",ON,05/08/2021,CASAN ON,"15,01",Água e Saneamento,"15,01",Água e Saneamento,0
CASH3,"2,99",ON NM,30/11/2021,MELIUZ ON NM,"1,61",Programas e Serviços,"12,33",Programas e Serviços,191.349.000
BSLI4,"14,03",ON,30/11/2021,BRB ON,"14,03",Intermediários Financeiros,"103,87",Bancos,6.147
CARD3,"12,58",ON NM,30/11/2021,CSU CARDSYST ON NM,"12,58",Serviços Diversos,"27,21",Serviços Diversos,6.227.010
CAML3,"9,57",ON NM,30/11/2021,CAMIL ON NM,"8,60",Alimentos Processados,"11,50",Alimentos Diversos,18.712.300
CAMB4,"6,25",PN,20/12/2019,PENALTY PN,"0,00","Tecidos, Vestuário e Calçados","0,00",Calçados,0
CAMB3,"4,79",ON,30/11/2021,PENALTY ON,"3,63","Tecidos, Vestuário e Calçados","6,20",Calçados,188.526
CALI3,"98,18",ON,05/11/2018,CAL S/A ON,"0,00",Construção Civil,"0,00",Incorporações,0
BRSR4,"181,10",PN,21/06/2007,BANRISUL S/A PN,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BUET4,"18,49",PN,11/06/2010,BUETTNER S/A - INDUSTRIA E COMERCIO PN,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
BUET3,"24,99",ON,11/06/2010,BUETTNER S/A - INDUSTRIA E COMERCIO ON,"0,00","Tecidos, Vestuário e Calçados","0,00",Fios e Tecidos,0
BRKM6,"31,00",PNB N1,18/11/2021,BRASKEM PNB N1,"17,60",Químicos,"44,00",Petroquímicos,719
BTTL3,"20,19",ON,09/06/2021,EMBPAR S/A ON,"5,60",Comércio,"22,32",Material de Transporte,395.854
BSLI3,"26,00",ON,30/11/2021,BRB ON,"15,49",Intermediários Financeiros,"105,24",Bancos,4.378
BRKM3,"46,50",ON N1,30/11/2021,BRASKEM ON N1,"22,55",Químicos,"65,80",Petroquímicos,407.433
BSEV3,"9,00",ON NM,14/05/2021,BIOSEV ON NM,"4,73",Alimentos Processados,"9,86",Açucar e Alcool,0
BSCT6,"2,58",PNBANT,10/02/2009,BESC S.A. PNBANT,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BSCT5,"3,50",PNAANT,10/02/2009,BESC S.A. PNAANT,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BRGE7,"5,40",PNC,04/06/2019,CONSORCIO ALFA PNC,"0,00",Previdência e Seguros,"0,00",Seguradoras,0
BRGE5,"10,41",PNA,03/08/2021,CONSORCIO ALFA PNA,"10,15",Previdência e Seguros,"27,89",Seguradoras,0
BRSR6,"10,10",PNB,30/11/2021,BANRISUL S/A PNB,"9,96",Intermediários Financeiros,"14,13",Bancos,27.402.800
BSCT3,"4,05",ON,09/05/2007,BESC S.A. ON,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BRSR5,"17,30",PNA,19/11/2021,BANRISUL S/A PNA,"15,79",Intermediários Financeiros,"19,91",Bancos,593
BRPR3,"7,20",ON NM,30/11/2021,BR PROPERTIES ON NM,"7,15",Exploração de Imóveis,"10,61",Exploração de Imóveis,17.074.900
BRML3,"7,90",ON,30/11/2021,BR MALLS PARTICIPAÇÔES S/A ON,"6,97",Exploração de Imóveis,"11,80",Exploração de Imóveis,161.980.000
BRSR3,"11,49",ON,30/11/2021,BANRISUL S/A ON,"11,40",Intermediários Financeiros,"15,35",Bancos,89.229
BRIV3,"8,75",ON,26/11/2021,ALFA DE INVESTIMENTO ON,"8,38",Intermediários Financeiros,"15,98",Bancos,1.496
BRKM5,"50,05",PNA N1,30/11/2021,BRASKEM PNA N1,"21,21",Químicos,"70,17",Petroquímicos,152.946.000
BRIT3,"5,70",ON NM,30/11/2021,BRISANET ON NM,"5,70",Telecomunicações,"13,98",Telecomunicações,5.223.820
BRIV4,"8,00",PN,30/11/2021,ALFA DE INVESTIMENTO PN,"7,92",Intermediários Financeiros,"10,45",Bancos,14.765
BRGE8,"10,24",PND,12/11/2021,CONSORCIO ALFA PND,"7,61",Previdência e Seguros,"11,72",Seguradoras,26
BRGE6,"12,99",PNB,20/07/2021,CONSORCIO ALFA PNB,"11,94",Previdência e Seguros,"18,01",Seguradoras,0
BRGE3,"7,52",ON,30/11/2021,CONSORCIO ALFA ON,"7,52",Previdência e Seguros,"11,15",Seguradoras,1.786
BRBI11,"16,61",UNT N2,30/11/2021,BR PARTNERS UNT N2,"16,55",Intermediários Financeiros,"28,34",Bancos,4.365.450
BRAP4,"49,75",PN N1,30/11/2021,BRADESPAR S/A PN N1,"44,90",Mineração,"70,47",Minerais Metálicos,160.115.000
BRFS3,"19,75",ON NM,30/11/2021,BRF Foods ON NM,"19,75",Alimentos Processados,"30,07",Carnes e Derivados,170.935.000
BRAP3,"47,30",ON N1,30/11/2021,BRADESPAR S/A ON N1,"42,19",Mineração,"59,90",Minerais Metálicos,8.745.780
BPNM3,"0,00",ON N1,30/12/1899,BANCO PAN ON N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BNBR4,"27,01",PN,19/02/2014,BANCO DO NORDESTE PN,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BNBR3,"67,98",ON,22/11/2021,BANCO DO NORDESTE ON,"61,95",Intermediários Financeiros,"72,62",Bancos,13.785
BMKS3,"230,39",ON,30/11/2021,MONARK ON,"214,95",Viagens e Lazer,"287,29",Bicicletas,115.977
BMIN4,"17,55",PN,30/11/2021,BANCO MERCANTIL DE INVESTIMENTOS SA PN,"17,00",Intermediários Financeiros,"24,83",Bancos,7.768
BPIA3,"6,10",ON,10/11/2009,BEP ON,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BPAC5,"4,97",PNA,30/11/2021,BTGP BANCO PNA,"4,34",Intermediários Financeiros,"8,78",Bancos,103.687
BMGB11,"33,60",UNT N1,28/11/2019,BANCO BMG UNT N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BMEF3,"11,00",ON,19/08/2008,BMF ON,"0,00",Serviços Financeiros Diversos,"0,00",Serviços Financeiros Diversos,0
BMEB4,"18,15",PN,30/11/2021,BANCO MERCANTIL DO BRASIL S/A PN,"14,67",Intermediários Financeiros,"21,03",Bancos,59.261
BPAC11,"20,94",UNT,30/11/2021,BTGP BANCO UNT,"19,64",Intermediários Financeiros,"32,11",Bancos,360.803.000
BPAN4,"11,26",PN,30/11/2021,BANCO PAN PN,"9,18",Intermediários Financeiros,"25,58",Bancos,113.554.000
BPAC3,"13,49",ON,30/11/2021,BTGP BANCO ON,"10,10",Intermediários Financeiros,"21,19",Bancos,133.511
BPHA3,"0,62",ON NM,10/06/2019,BRAZIL PHARMA S.A. ON NM,"0,62",Comércio e Distribuição,"1,69",Medicamentos e Outros Produtos,0
BPAT33,"20,00",DR3,19/02/2013,Patagonia DR3,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BPAR3,"182,07",ON,21/02/2019,BANPARÁ S.A. ON,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BOVH3,"15,71",ON NM,19/08/2008,Bovespa Hld ON NM,"0,00",Serviços Financeiros Diversos,"0,00",Serviços Financeiros Diversos,0
BLUT3,"3,00",ON,05/11/2021,B TECH EQI ON,"0,56",Outros,"4,75",Outros,1.399.350
BIOM4,"8,68",PN,30/08/2013,BIOMM SA PN,"0,00",Medicamentos e Outros Produtos,"0,00",Medicamentos e Outros Produtos,0
BIOM3,"13,00",ON,30/11/2021,BIOMM SA ON,"12,20",Medicamentos e Outros Produtos,"17,95",Medicamentos e Outros Produtos,106.702
BIDI3,"12,06",ON N2,30/11/2021,BANCO INTER ON N2,"8,05",Intermediários Financeiros,"28,22",Bancos,24.489.100
BOBR4,"1,71",PN,30/11/2021,BOMBRIL SA PN,"1,68",Produtos de Uso Pessoal e de Limpeza,"3,16",Produtos de Limpeza,103.097
BOBR3,"1,00",ON,14/01/2020,BOMBRIL SA ON,"0,00",Produtos de Uso Pessoal e de Limpeza,"0,00",Produtos de Limpeza,0
BOAS3,"7,50",ON NM,30/11/2021,BOA VISTA ON NM,"7,50",Serviços Financeiros Diversos,"14,00",Serviços Financeiros Diversos,9.816.020
BGIP4,"23,30",PN,30/11/2021,BANESE PN,"21,63",Intermediários Financeiros,"26,00",Bancos,5.570
BMIN3,"24,98",ON,19/11/2021,BANCO MERCANTIL DE INVESTIMENTOS SA ON,"19,70",Intermediários Financeiros,"26,75",Bancos,1.074
BMGB4,"2,89",PN N1,30/11/2021,BANCO BMG PN N1,"2,88",Intermediários Financeiros,"6,23",Bancos,3.999.100
BNCA3,"70,30",ON,08/04/2010,NOSSA CAIXA-NOSSO BANCO ON,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BMOB3,"14,40",ON NM,30/11/2021,BEMOBI TECH ON NM,"12,77",Programas e Serviços,"26,61",Programas e Serviços,18.917.000
BMEB3,"22,00",ON,30/11/2021,BANCO MERCANTIL DO BRASIL S/A ON,"14,88",Intermediários Financeiros,"25,60",Bancos,4.586
BLUT4,"1,16",PN,05/11/2021,B TECH EQI PN,"0,30",Outros,"3,31",Outros,876.429
BLAU3,"33,70",ON NM,30/11/2021,BLAU ON NM,"33,30",Comércio e Distribuição,"53,84",Medicamentos e Outros Produtos,17.473.700
BEES3,"4,69",ON,30/11/2021,BANESTES S/A ON,"4,60",Intermediários Financeiros,"5,39",Bancos,73.740
BIDI11,"36,23",UNT N2,30/11/2021,BANCO INTER UNT N2,"24,73",Intermediários Financeiros,"84,90",Bancos,449.297.000
BICB3,"8,00",ON N1,24/09/2015,BicBanco ON N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BICB4,"8,25",PN N1,16/10/2015,BicBanco PN N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BISA3,"1,58",ON NM,02/01/2015,BROOKFIELD INCORPORACOES ON NM,"0,00",Construção Civil,"0,00",Incorporações,0
BKBR3,"6,56",ON NM,30/11/2021,BK BRASIL ON NM,"6,56",Hoteis e Restaurantes,"12,40",Restaurante e Similares,24.693.100
BHGR3,"19,10",ON NM,08/06/2015,BHG ON NM,"0,00",Exploração de Imóveis,"0,00",Exploração de Imóveis,0
BIDI4,"11,95",PN N2,30/11/2021,BANCO INTER PN N2,"8,41",Intermediários Financeiros,"28,50",Bancos,144.750.000
BBSE3,"20,88",ON NM,30/11/2021,BBSEGURIDADE ON NM,"18,40",Previdência e Seguros,"28,98",Seguradoras,120.797.000
BBDC4,"19,91",PN N1,30/11/2021,BANCO BRADESCO S.A. PN N1,"19,05",Intermediários Financeiros,"27,84",Bancos,938.608.000
BGIP3,"31,10",ON,30/11/2021,BANESE ON,"31,00",Intermediários Financeiros,"43,90",Bancos,2.366
BBAS3,"31,84",ON,30/11/2021,BANCO DO BRASIL S.A. ON,"26,61",Intermediários Financeiros,"37,52",Bancos,450.170.000
BAZA3,"38,60",ON,30/11/2021,BANCO DA AMAZONIA S.A. ON,"35,20",Intermediários Financeiros,"41,84",Bancos,29.434
BEMA3,"10,80",ON NM,27/10/2015,Bematech ON NM,"0,00",Computadores e Equipamentos,"0,00",Computadores e Equipamentos,0
BEES4,"5,72",PN,30/11/2021,BANESTES S/A PN,"5,32",Intermediários Financeiros,"6,14",Bancos,15.470
B3SA3,"11,11",ON,30/11/2021,B3 ON,"11,11",Serviços Financeiros Diversos,"20,17",Serviços Financeiros Diversos,591.774.000
BDLL3,"12,00",ON,30/11/2021,BAEDELLA ON,"8,00",Máquinas e Equipamentos,"24,31",Máq. e Equip. Industriais,30.290
BEEF3,"8,58",ON NM,30/11/2021,Minerva ON NM,"7,53",Alimentos Processados,"10,82",Carnes e Derivados,84.059.500
BDLL4,"10,90",PN,30/11/2021,BAEDELLA PN,"8,79",Máquinas e Equipamentos,"16,50",Máq. e Equip. Industriais,6.212
AZEV3,"3,56",ON,30/11/2021,AZEVEDO & TRAVASSOS ON,"3,56",Construção e Engenharia,"8,23",Construção Pesada,518.536
AVLL3,"24,00",ON NM,30/11/2021,ALPHAVILLE ON NM,"19,16",Construção Civil,"31,94",Incorporações,636.067
BBRK3,"1,06",ON NM,30/11/2021,BR Brokers ON NM,"1,06",Exploração de Imóveis,"4,00",Intermediação Imobiliária,3.370.530
BBTG11,"15,01",UNT,18/08/2017,BTG PACTUAL UNITS UNT,"0,00",Intermediários Financeiros,"0,00",Bancos,0
BALM3,"15,81",ON,30/11/2021,BAUMER ON,"15,21",Equipamentos,"24,24",Equipamentos,2.567
BAUH4,"83,70",PN,30/11/2021,EXCELSIOR PN,"76,98",Alimentos Processados,"97,09",Carnes e Derivados,32.548
BALM4,"13,70",PN,30/11/2021,BAUMER PN,"12,84",Equipamentos,"21,30",Equipamentos,11.444
BBDC3,"17,02",ON N1,30/11/2021,BANCO BRADESCO S.A. ON N1,"16,54",Intermediários Financeiros,"23,85",Bancos,142.797.000
ARZZ3,"67,16",ON NM,30/11/2021,AREZZO CO ON NM,"62,61",Comércio,"100,81","Tecidos, Vestuário e Calçados",75.593.600
ARTR3,"10,01",ON,16/06/2016,ARTERIS ON,"0,00",Transporte,"0,00",Exploração de Rodovias,0
AZUL4,"23,38",PN,30/11/2021,AZUL PN,"23,30",Transporte,"48,55",Transporte Aéreo,238.767.000
BAHI5,"65,00",PNA,22/09/2006,BAHEMA PNA,"0,00",Diversos,"0,00",Serviços Educacionais,0
BAHI4,"86,00",PN,02/07/2009,BAHEMA PN,"0,00",Diversos,"0,00",Serviços Educacionais,0
BAHI3,"13,78",ON,30/11/2021,BAHEMA ON,"13,01",Diversos,"17,30",Serviços Educacionais,27.013
ARCZ6,"3,63",PNB N1,17/11/2009,ARACRUZ CELULOSE SA PNB N1,"0,00",Madeira e Papel,"0,00",Papel e Celulose,0
AZEV4,"2,84",PN,30/11/2021,AZEVEDO & TRAVASSOS PN,"2,19",Construção e Engenharia,"7,64",Construção Pesada,2.404.300
AVIL3,"0,93",ON,04/02/2011,ACOS VILLARES ON,"0,00",Siderurgia e Metalurgia,"0,00",Siderurgia,0
AUTM3,"19,70",ON NM,13/10/2014,AUTOMETAL ON NM,"0,00",Material de Transporte,"0,00",Material Rodoviário,0
AURA33,"44,25",DR3,30/11/2021,AURA 360 DR3,"44,25",Mineração,"69,25",Minerais Metálicos,5.452.660
ANIM3,"8,56",ON NM,30/11/2021,ANIMA ON NM,"6,60",Diversos,"14,30",Serviços Educacionais,28.831.200
AMPI3,"55,00",ON,17/04/2012,AMPLA INVEST ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
ATOM3,"3,09",ON,30/11/2021,ATOMPAR ON,"2,96",Outros,"11,30",Outros,111.373
ATMP3,"3,53",ON,30/11/2021,ATMASA ON,"2,24",Serviços Diversos,"12,53",Serviços Diversos,194.069
ASAI3,"12,75",ON NM,30/11/2021,ASSAI ON NM,"12,75",Comércio e Distribuição,"19,45",Alimentos,210.935.000
AESL3,"10.081,90",ON,06/04/2005,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
AERI3,"7,85",ON NM,30/11/2021,AERIS ON NM,"6,86",Máquinas e Equipamentos,"13,13",Máq. e Equip. Industriais,14.125.700
ARML3,"21,65",ON NM,30/11/2021,ARMAC ON NM,"18,96",Diversos,"26,74",Aluguel de carros,17.496.400
ARCZ3,"3,66",ON N1,17/11/2009,ARACRUZ CELULOSE SA ON N1,"0,00",Madeira e Papel,"0,00",Papel e Celulose,0
AEDU11,"37,35",UNT,03/12/2010,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA UNT,"0,00",Diversos,"0,00",Serviços Educacionais,0
ACES4,"94,73",PN,24/04/2008,ARCELORMITTAL INOX BRASIL PN,"0,00",Siderurgia e Metalurgia,"0,00",Siderurgia,0
ACES3,"95,27",ON,18/04/2008,ARCELORMITTAL INOX BRASIL ON,"0,00",Siderurgia e Metalurgia,"0,00",Siderurgia,0
ABYA3,"4,91",ON NM,11/02/2010,ABYARA ON NM,"0,00",Construção Civil,"0,00",Incorporações,0
ABEV3,"16,06",ON,30/11/2021,AMBEV S/A ON,"13,77",Bebidas,"19,60",Cervejas e Refrigerantes,432.646.000
ABCB4,"16,93",PN N2,30/11/2021,ABC Brasil PN N2,"13,71",Intermediários Financeiros,"17,55",Bancos,15.340.700
ABCB3,"0,00",ON N2,30/12/1899,ABC Brasil ON N2,"0,00",Intermediários Financeiros,"0,00",Bancos,0
APER3,"28,95",ON,30/11/2021,ALPER S.A. ON,"27,80",Previdência e Seguros,"60,48",Corretoras de Seguros,1.673.870
APTI4,"3.500,00",PN,01/08/2018,ALIPERTI PN,"0,00",Agropecuária,"0,00",Agricultura,0
AGEI3,"7,80",ON NM,11/06/2010,AGRE EMP IMOB ON NM,"0,00",Construção Civil,"0,00",Incorporações,0
AFLU3,"5,15",ON,22/11/2017,AFLUENTE ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
AFLU5,"5,03",PNA,23/11/2017,AFLUENTE PNA,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
AFLT3,"8,66",ON,30/11/2021,AFLUENTE T ON,"8,23",Energia Elétrica,"10,88",Energia Elétrica,6.958
AESL4,"10.081,90",PN,06/04/2005,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
AELP3,"1,93",ON,05/09/2018,AES ELPA ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
AEDU3,"18,35",ON NM,03/07/2014,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA ON NM,"0,00",Diversos,"0,00",Serviços Educacionais,0
AESB3,"11,30",ON NM,30/11/2021,AES BRASIL ON NM,"10,90",Energia Elétrica,"17,40",Energia Elétrica,19.087.200
